No.,Sector,Sub Industry Code,Sub Industry,Code,Stock Name,Sharia,FS Date,Fiscal Year End,Type of FS,Auditor's Opinion,"Assets, b.IDR","Liabilities, b.IDR","Equity, b.IDR","Sales, b.IDR","EBT, b.IDR",Profit for the Period,Profit attr.to owner's,"EPS, IDR","Book Value, IDR","P/E Ratio, x","Price to BV, x","D/E Ratio, x","ROA, %","ROE, %","NPM, %",Harga Saham
615.00,Properties & Real Estate,H111,Real Estate Development & Management,BCIP,Bumi Citra Permai Tbk,S,06/30/2022,Dec,U,,893.65,436.7,456.95,47.22,10.44,8.01,7.23,4.96,319.56,12.7,0.2,0.96,1,2,15,63.912
616.00,Properties & Real Estate,H111,Real Estate Development & Management,BEST,Bekasi Fajar Industrial Estate Tbk,S,06/30/2022,Dec,U,,5988.82,1564.71,4424.11,345.24,139.36,130.21,130.22,-0.31,458.58,-442.26,0.3,0.35,2,3,39,137.574
617.00,Properties & Real Estate,H111,Real Estate Development & Management,BIKA,Binakarya Jaya Abadi Tbk,S,06/30/2022,Dec,U,,3131.39,3331.04,-199.65,40.08,-46.88,-46.88,-13.91,68.33,-337.09,2.05,-0.42,-16.68,1,0,101,141.5778
618.00,Properties & Real Estate,H111,Real Estate Development & Management,BIPP,Bhuwanatala Indah Permai Tbk,S,06/30/2022,Dec,U,,1956.64,829.76,1126.88,188.13,26.94,20.44,7.49,0.42,224.09,124.44,0.23,0.74,0,0,1,51.5407
619.00,Properties & Real Estate,H111,Real Estate Development & Management,BKDP,Bukit Darmo Property Tbk,S,06/30/2022,Dec,U,,774.08,349.59,424.49,19.09,-20.37,-22.07,-22.07,-5.18,56.49,-22.39,1.52,0.82,-5,-9,-204,85.8648
620.00,Properties & Real Estate,H111,Real Estate Development & Management,BKSL,Sentul City Tbk,S,06/30/2022,Dec,A,WTP,16603.83,6136.74,10467.09,408.56,-25.06,-26.54,-21.31,-0.81,156.03,-64.23,0.33,0.59,0,-1,-13,51.4899
621.00,Properties & Real Estate,H111,Real Estate Development & Management,BSDE,Bumi Serpong Damai Tbk,S,06/30/2022,Dec,U,,63690.88,27594.04,36096.84,3835.62,510.06,509.04,463.64,51.8,1704.98,17.76,0.54,0.76,2,3,30,920.6892
622.00,Properties & Real Estate,H111,Real Estate Development & Management,CITY,Natura City Developments Tbk,S,06/30/2022,Dec,U,,940.2,77.42,862.78,13.92,-12.57,-12.8,-12.8,-0.76,159.62,-203.64,0.93,0.09,0,0,-29,148.4466
623.00,Properties & Real Estate,H111,Real Estate Development & Management,COWL,Cowell Development Tbk,S,09/30/2019,Dec,U,,3660.96,2768.59,892.38,236.94,-5.77,-25.89,-25.92,-9.28,183.19,0,0.27,3.1,-1,-5,-19,49.4613
624.00,Properties & Real Estate,H111,Real Estate Development & Management,CPRI,Capri Nusa Satu Properti Tbk,S,03/31/2022,Dec,U,,210.34,26.44,183.91,0.79,-0.44,-0.51,-0.51,-1.67,75.58,-29.91,0.66,0.14,-2,-2,-513,49.8828
625.00,Properties & Real Estate,H111,Real Estate Development & Management,CSIS,Cahayasakti Investindo Sukses Tbk,S,06/30/2022,Dec,U,,538.9,244.68,294.22,31.18,7.24,7.24,2.78,6.99,225.11,11.44,0.36,0.83,2,3,29,81.0396
626.00,Properties & Real Estate,H111,Real Estate Development & Management,CTRA,Ciputra Development Tbk,S,06/30/2022,Dec,U,,40920.41,20517.01,20403.4,4665.19,1240.33,1092.01,1004.81,121.59,1099.3,7.85,0.86,1.01,6,11,48,945.398
627.00,Properties & Real Estate,H111,Real Estate Development & Management,DADA,Diamond Citra Propertindo Tbk,S,06/30/2022,Dec,U,,767.11,423.09,344.02,19,5.86,5.86,5.85,1.13,47.92,44.27,1.04,1.23,1,2,43,49.8368
628.00,Properties & Real Estate,H111,Real Estate Development & Management,DART,Duta Anggada Realty Tbk,S,06/30/2022,Dec,U,,6514.13,4225.94,2288.19,149.36,-205.09,-215.1,-215.09,-135.42,728.4,-1.46,0.27,1.85,-7,-19,-285,196.668
629.00,Properties & Real Estate,H111,Real Estate Development & Management,DILD,Intiland Development Tbk,S,06/30/2022,Dec,LR,,16567.06,10762.65,5804.41,960.41,-183.05,-217.41,-162.92,-6.15,559.95,-29.26,0.32,1.85,-1,-2,-13,179.184
630.00,Properties & Real Estate,H111,Real Estate Development & Management,DMAS,Puradelta Lestari Tbk,S,06/30/2022,Dec,U,,6763.52,872.26,5891.26,1067.07,669.45,660.7,660.04,22.54,122.23,7.81,1.44,0.15,16,18,102,176.0112
631.00,Properties & Real Estate,H111,Real Estate Development & Management,DUTI,Duta Pertiwi Tbk,S,06/30/2022,Dec,U,,15192.03,4669.49,10522.54,1256,264.64,263.94,257.76,287.27,5687.86,16.88,0.85,0.44,4,6,50,4834.681
632.00,Properties & Real Estate,H111,Real Estate Development & Management,ELTY,Bakrieland Development Tbk,S,03/31/2022,Dec,,,11661.6,3547.11,8114.49,218.54,-24.26,-26.8,-12.22,0,186.45,0,0.27,0.44,0,0,0,50.3415
633.00,Properties & Real Estate,H111,Real Estate Development & Management,EMDE,Megapolitan Developments Tbk,S,06/30/2022,Dec,U,,3776.96,2118.88,1658.08,58.3,-36.87,-36.87,-36.76,301.28,494.95,0.47,0.28,1.28,27,61,1731,138.586
634.00,Properties & Real Estate,H111,Real Estate Development & Management,FMII,Fortune Mate Indonesia Tbk,S,06/30/2022,Dec,U,,791.03,156.3,634.73,11.15,0,-0.29,-0.29,3.37,233.27,101.57,1.5,0.25,1,1,82,349.905
635.00,Properties & Real Estate,H111,Real Estate Development & Management,FORZ,Forza Land Indonesia Tbk,S,09/30/2020,Dec,U,,596.7,305.17,291.53,11.4,5.7,5.7,5.68,6.37,146.94,0,0.34,1.05,2,4,111,49.9596
636.00,Properties & Real Estate,H111,Real Estate Development & Management,GAMA,Aksara Global Development Tbk,S,06/30/2022,Dec,U,,1378.55,322.67,1055.88,10.19,-14.74,-14.79,-14.5,-2.87,105.47,-17.43,0.47,0.31,-2,-3,-282,49.5709
637.00,Properties & Real Estate,H111,Real Estate Development & Management,GMTD,Gowa Makassar Tourism Development Tbk,S,06/30/2022,Dec,U,,1145.8,582.34,563.47,86.83,6.59,6.4,6.4,-320.38,5549.33,-45.34,2.62,1.03,-1,-3,-18,14539.2446
638.00,Properties & Real Estate,H111,Real Estate Development & Management,GPRA,Perdana Gapuraprima Tbk,S,06/30/2022,Dec,U,,1762.33,625.01,1137.32,151.53,31.44,31.41,31.04,14.55,265.94,5.98,0.33,0.55,3,5,41,87.7602
639.00,Properties & Real Estate,H111,Real Estate Development & Management,GWSA,Greenwood Sejahtera Tbk,S,06/30/2022,Dec,U,,7677.88,641.48,7036.4,20.79,41.19,41.19,41.74,3.52,902.01,43.99,0.18,0.09,0,0,132,162.3618
640.00,Properties & Real Estate,H111,Real Estate Development & Management,HOMI,Grand House Mulia Tbk,S,03/31/2022,Dec,U,,290.91,170.33,120.58,6.44,0.84,0.67,0.67,3.44,76.56,174.66,7.84,1.41,2,4,84,600.2304
641.00,Properties & Real Estate,H112,Real Estate Services,INDO,PT Royalindo Investa Wijaya Tbk,S,06/30/2022,Dec,U,,1000.58,1.98,998.6,3.03,15.31,15.31,15.31,3.22,229.15,32.59,0.46,0,2,2,654,105.409
642.00,Properties & Real Estate,H111,Real Estate Development & Management,INPP,Indonesian Paradise Property Tbk,S,06/30/2022,Dec,U,,8835.68,3106.19,5729.49,300.82,-3.22,11.3,8.46,1.34,512.39,296.3,0.78,0.54,0,0,5,399.6642
643.00,Properties & Real Estate,H111,Real Estate Development & Management,IPAC,Era Graharealty Tbk,0,06/30/2022,Dec,U,,33.85,7.34,26.51,10.47,0.95,0.73,0.73,4.46,27.91,25.8,4.12,0.28,11,14,35,114.9892
644.00,Properties & Real Estate,H111,Real Estate Development & Management,JRPT,Jaya Real Property Tbk,S,06/30/2022,Dec,U,,12221.97,4012.52,8209.44,1008.9,380.49,374.24,368.32,55.97,597.05,8.54,0.8,0.49,6,9,76,477.64
645.00,Properties & Real Estate,H111,Real Estate Development & Management,KBAG,Karya Bersama Anugerah Tbk,S,06/30/2022,Dec,U,,460.81,73.14,387.68,30.75,6.69,6.18,6.18,1.08,54.22,46.18,0.92,0.19,2,2,25,49.8824
646.00,Properties & Real Estate,H111,Real Estate Development & Management,KIJA,Kawasan Industri Jababeka Tbk,S,06/30/2022,Dec,U,,12420.87,6095.3,6325.57,1137.2,-37.43,-43.11,-56.18,3.91,303.75,38.88,0.51,0.96,1,1,7,154.9125
647.00,Properties & Real Estate,H111,Real Estate Development & Management,KOTA,DMS Propertindo Tbk,S,06/30/2022,Dec,U,,1552,309.21,1242.79,8.9,-16.48,-16.48,-16.48,-1.84,117.84,-27.16,0.42,0.25,-1,-2,-218,49.4928
648.00,Properties & Real Estate,H111,Real Estate Development & Management,LAND,Trimitra Propertindo Tbk,S,06/30/2022,Dec,U,,750.91,279.22,471.69,22.14,-3.79,-4.18,-4.18,-3.03,168.91,-23.45,0.44,0.59,-1,-2,-38,74.3204
649.00,Properties & Real Estate,H111,Real Estate Development & Management,LCGP,Eureka Prima Jakarta Tbk,S,09/30/2021,Dec,U,,1632.53,40.03,1592.49,1.64,-1.3,-1.34,-1.32,0.06,282.86,2008.04,0.4,0.03,0,0,20,113.144
650.00,Properties & Real Estate,H111,Real Estate Development & Management,LPCK,Lippo Cikarang Tbk,S,06/30/2022,Dec,U,,9228.96,2601.47,6627.49,750.1,225.85,222.54,222.53,60.38,2473.31,19.05,0.46,0.39,2,2,22,1137.7226
651.00,Properties & Real Estate,H111,Real Estate Development & Management,LPKR,Lippo Karawaci Tbk,S,06/30/2022,Dec,LR,,51437.48,30248.67,21188.81,6762.71,-895.68,-1066.95,-1205.96,-34.22,298.86,-3.36,0.38,1.43,-5,-12,-38,113.5668
652.00,Properties & Real Estate,H111,Real Estate Development & Management,LPLI,Star Pacific Tbk,S,06/30/2022,Dec,U,,1108.04,17.48,1090.56,11.86,-8.63,-8.63,-8.63,102.23,931.76,2.8,0.31,0.02,-11,-11,-1044,288.8456
653.00,Properties & Real Estate,H111,Real Estate Development & Management,MDLN,Modernland Realty Tbk,S,06/30/2022,Dec,U,,13716.8,9174.04,4542.75,466.84,493.72,353.29,353.29,57.59,362.46,2.05,0.33,2.02,5,16,155,119.6118
654.00,Properties & Real Estate,H111,Real Estate Development & Management,MKPI,Metropolitan Kentjana Tbk,S,06/30/2022,Dec,U,,8339.46,2339.66,5999.8,859.39,340.69,274.4,274.43,463.31,6327.61,48.56,3.56,0.39,5,7,51,22526.2916
655.00,Properties & Real Estate,H111,Real Estate Development & Management,MMLP,Mega Manunggal Property Tbk,S,06/30/2022,Dec,U,,7458.11,1215.43,6242.69,165.12,90.36,89.23,48.45,28.07,906.16,16.39,0.49,0.19,3,3,117,444.0184
656.00,Properties & Real Estate,H111,Real Estate Development & Management,MPRO,Maha Properti Indonesia Tbk,S,06/30/2022,Dec,U,,1740.03,398.65,1341.39,12.18,-12.91,-13.21,-13.3,-1.78,134.91,-382.09,5.04,0.3,-2,-2,-226,679.9464
657.00,Properties & Real Estate,H111,Real Estate Development & Management,MTLA,Metropolitan Land Tbk,S,06/30/2022,Dec,U,,6656.11,2124.35,4531.76,488.81,148.5,125.58,110.65,52.01,591.99,6.77,0.63,0.47,6,9,81,372.9537
658.00,Properties & Real Estate,H111,Real Estate Development & Management,MTSM,Metro Realty Tbk,S,06/30/2022,Dec,U,,63.36,25.2,38.17,10.68,-3.47,-4.62,-4.61,-18.92,163.92,-9.36,1.08,0.66,-9,-14,-51,177.0336
659.00,Properties & Real Estate,H111,Real Estate Development & Management,MYRX,Hanson International Tbk,S,09/30/2019,Dec,U,,12904.25,4401.98,8502.27,923.01,117.26,98.13,77.43,-0.09,98.06,0,0.51,0.52,0,0,-1,50.0106
660.00,Properties & Real Estate,H111,Real Estate Development & Management,MYRXP,Hanson International (Seri B) Tbk,S,09/30/2019,Dec,U,,12904.25,4401.98,8502.27,923.01,117.26,98.13,77.43,-7.04,7584.57,0,0.01,0.52,0,0,-1,75.8457
661.00,Properties & Real Estate,H111,Real Estate Development & Management,NIRO,City Retail Developments Tbk,S,06/30/2022,Dec,U,,11997.05,5742.99,6254.06,410.22,-144.12,-183.21,-76.4,-4.27,281.73,-34.65,0.53,0.92,-1,-2,-23,149.3169
662.00,Properties & Real Estate,H111,Real Estate Development & Management,NZIA,Nusantara Almazia Tbk,S,06/30/2022,Dec,U,,623.72,110.88,512.84,45.31,2.15,1.55,0.45,0.69,233.37,194.48,0.58,0.22,0,0,3,135.3546
663.00,Properties & Real Estate,H111,Real Estate Development & Management,OMRE,Indonesia Prima Property Tbk,S,06/30/2022,Dec,U,,4106.65,798.35,3308.3,39.57,-77.95,-77.78,-77.88,-87.02,1895.87,-5.8,0.25,0.24,-4,-5,-384,473.9675
664.00,Properties & Real Estate,H111,Real Estate Development & Management,PAMG,Bima Sakti Pertiwi Tbk,S,06/30/2022,Dec,U,,581.92,157.91,424.01,26.6,-1.86,-2.01,-2.01,-2.7,135.68,-31.13,0.62,0.37,-1,-2,-32,84.1216
665.00,Properties & Real Estate,H111,Real Estate Development & Management,PLIN,Plaza Indonesia Realty Tbk,S,06/30/2022,Dec,U,,12185.67,1213.44,10972.23,499.67,175.73,174.78,174.78,120.79,3090.77,17.63,0.69,0.11,3,4,83,2132.6313
666.00,Properties & Real Estate,H111,Real Estate Development & Management,POLI,Pollux Hotels Group Tbk,S,06/30/2022,Dec,U,,2589.7,690.22,1899.49,147.56,174.22,170.68,170.68,93.46,944.77,8.56,0.85,0.36,7,10,127,803.0545
667.00,Properties & Real Estate,H111,Real Estate Development & Management,POLL,Pollux Properties Indonesia Tbk,S,03/31/2022,Dec,,,6812.39,5431.73,1380.66,99.01,11.24,11.24,5.62,-16.37,165.97,-19.06,1.88,3.93,-2,-10,-138,312.0236
668.00,Properties & Real Estate,H111,Real Estate Development & Management,POSA,Bliss Properti Indonesia Tbk,S,06/30/2022,Dec,U,,899.26,954.53,-55.26,29.51,-38.74,-38.97,-38.77,-15.81,-6.59,-3.16,-7.59,-17.27,-15,0,-449,50.0181
669.00,Properties & Real Estate,H111,Real Estate Development & Management,PPRO,PP Properti Tbk,S,03/31/2022,Dec,U,,21396.65,16895.36,4501.29,380.97,11.49,1.46,1.29,0.33,72.98,149.42,0.69,3.75,0,0,5,50.3562
670.00,Properties & Real Estate,H111,Real Estate Development & Management,PUDP,Pudjiadi Prestige Tbk,S,06/30/2022,Dec,U,,694.05,399.92,294.13,24.96,-6.6,-7.32,-7.32,-73.09,892.5,-5.2,0.43,1.36,-3,-6,-74,383.775
671.00,Properties & Real Estate,H111,Real Estate Development & Management,PURI,Puri Global Sukses Tbk,S,06/30/2022,Dec,U,,254.81,128.64,126.17,17.15,0.89,0.89,1.13,5.63,126.17,76.42,3.55,1.02,2,4,33,447.9035
672.00,Properties & Real Estate,H111,Real Estate Development & Management,PWON,Pakuwon Jati Tbk,S,06/30/2022,Dec,U,,29722.33,9683.26,20039.07,2750.92,859.18,859.48,753.51,34.71,416.1,13.02,1.09,0.48,6,8,61,453.549
673.00,Properties & Real Estate,H111,Real Estate Development & Management,RBMS,Ristia Bintang Mahkotasejati Tbk,S,06/30/2022,Dec,U,,749.91,219.4,530.51,21.81,-25.46,-25.63,-25.44,-12.56,199.73,-3.98,0.25,0.41,-4,-6,-153,49.9325
674.00,Properties & Real Estate,H111,Real Estate Development & Management,RDTX,Roda Vivatex Tbk,S,06/30/2022,Dec,U,,3198.34,286.16,2912.18,247.3,160.88,135.49,135.49,938.88,10834,9.32,0.81,0.1,8,9,102,8775.54
675.00,Properties & Real Estate,H111,Real Estate Development & Management,REAL,Repower Asia Indonesia Tbk,S,06/30/2022,Dec,U,,352.94,1.47,351.47,3.01,0.3,0.23,0.23,0.13,52.98,385.61,0.94,0,0,0,29,49.8012
676.00,Properties & Real Estate,H111,Real Estate Development & Management,RIMO,Rimo International Lestari Tbk,S,09/30/2019,Dec,U,,6741.4,569.64,6171.76,507.99,81.94,80.61,76.89,1.6,136.9,0,0.37,0.09,1,1,14,50.653
677.00,Properties & Real Estate,H111,Real Estate Development & Management,ROCK,Rockfields Properti Indonesia Tbk,S,06/30/2022,Dec,U,,1047.96,284.97,762.99,43.38,4.89,0.53,0.53,-5.32,531.63,-65.06,0.69,0.37,-1,-1,-18,366.8247
678.00,Properties & Real Estate,H111,Real Estate Development & Management,RODA,Pikko Land Development Tbk,S,06/30/2022,Dec,U,,3642.79,1436.66,2206.13,63.15,-29.32,-24.03,-24.13,-1.39,162.31,-54.52,0.47,0.65,-1,-1,-30,76.2857
679.00,Properties & Real Estate,H111,Real Estate Development & Management,SATU,Kota Satu Properti Tbk,S,06/30/2022,Dec,U,,256.16,189.78,66.37,10.8,-2.98,-2.73,-2.67,-10.74,48.27,-6.98,1.64,2.86,-6,-22,-137,79.1628
680.00,Properties & Real Estate,H111,Real Estate Development & Management,SMDM,Suryamas Dutamakmur Tbk,S,06/30/2022,Dec,U,,3343.98,463.52,2880.46,313.88,107.79,100.94,83.42,23.04,603.6,8.51,0.32,0.16,4,5,45,193.152
681.00,Properties & Real Estate,H111,Real Estate Development & Management,SMRA,Summarecon Agung Tbk,S,06/30/2022,Dec,U,,27236.83,15907.03,11329.8,2728.94,426.95,307.62,254.61,28.46,686.3,21.08,0.87,1.4,2,4,17,597.081
682.00,Properties & Real Estate,H111,Real Estate Development & Management,SWID,PT Saraswanti Indoland Development Tbk,S,06/30/2022,Dec,U,,261.65,130.88,130.77,58.07,8.31,7.96,7.96,3.95,24.28,30.11,5.11,1,8,16,37,124.0708
683.00,Properties & Real Estate,H111,Real Estate Development & Management,TARA,Agung Semesta Sejahtera Tbk,S,06/30/2022,Dec,U,,1082.32,21.09,1061.24,1.09,-1.45,-1.45,-1.46,1.08,105.39,46.5,0.47,0.02,1,1,993,49.5333
684.00,Properties & Real Estate,H111,Real Estate Development & Management,TRIN,Perintis Triniti Properti Tbk,S,06/30/2022,Dec,A,WTP,2060.61,1489.44,571.17,0.7,-42.49,-42.49,-29.36,-10.05,129.68,-29.06,2.34,2.61,-2,-8,-6336,303.4512
685.00,Properties & Real Estate,H111,Real Estate Development & Management,TRUE,Triniti Dinamik Tbk,S,06/30/2022,Dec,U,,799.96,442.53,357.43,122.36,1.56,1.56,1.56,4.41,47.21,13.83,1.29,1.24,2,5,16,60.9009
686.00,Properties & Real Estate,H111,Real Estate Development & Management,URBN,Urban Jakarta Propertindo Tbk,S,06/30/2022,Dec,U,,4274.85,2244.49,2030.36,17.67,12.9,7.46,7.63,17.56,628.18,10.42,0.29,1.11,1,3,321,182.1722
687.00,Technology,I121,IT Services & Consulting,ATIC,Anabatic Technologies Tbk,S,06/30/2022,Dec,U,,4250.2,4075.96,174.24,3733.34,183.03,134.6,97.53,-58.59,75.25,-7.07,5.5,23.39,-3,-78,-4,413.875
688.00,Technology,I111,Online Applications & Services,BUKA,Bukalapakcom Tbk,S,06/30/2022,Dec,U,,33822.75,1599.13,32223.63,1691.17,8798.71,8589.92,8593.49,74.58,312.66,4.02,0.96,0.05,23,24,455,300.1536
689.00,Technology,I111,Online Applications & Services,CASH,Cashlez Worldwide Indonesia Tbk,0,06/30/2022,Dec,U,,148.12,52.72,95.4,42.98,-11.26,-9.65,-9.31,-10.27,66.66,-15.39,2.33,0.55,-10,-15,-34,155.3178
690.00,Technology,I121,IT Services & Consulting,DCII,DCI Indonesia Tbk,S,06/30/2022,Dec,U,,3066.97,1709.01,1357.96,458.17,178.97,143.01,143.01,123.27,569.68,298.54,64.51,1.26,10,22,64,36750.0568
691.00,Technology,I111,Online Applications & Services,DIVA,Distribusi Voucher Nusantara Tbk,S,06/30/2022,Dec,U,,2439.78,201.88,2237.9,2319.91,98.47,96.44,92.07,469,1566.53,1.86,0.56,0.09,27,30,29,877.2568
692.00,Technology,I121,IT Services & Consulting,DMMX,Digital Mediatama Maxima Tbk,S,06/30/2022,Dec,U,,1116.32,154.18,962.13,924.3,13.12,10.78,10.13,17.38,125.08,66.47,9.27,0.16,12,14,14,1159.4916
693.00,Technology,I121,IT Services & Consulting,EDGE,Indointernet Tbk,S,06/30/2022,Dec,U,,1307.51,206.19,1101.32,382.6,83.6,69.27,69.15,339.89,2725.69,59.28,7.39,0.19,11,12,36,20142.8491
694.00,Technology,I111,Online Applications & Services,EMTK,Elang Mahkota Teknologi Tbk,S,06/30/2022,Dec,U,,43886.3,4819.74,39066.57,7099.93,3004.84,2818.66,2704.9,132.25,637.91,11.95,2.38,0.12,18,21,114,1518.2258
695.00,Technology,I121,IT Services & Consulting,ENVY,Envy Technologies Indonesia Tbk,S,09/30/2020,Dec,U,,369.93,75.25,294.68,2.62,-21.75,-21.75,-20.46,-10.01,163.71,0,0.31,0.26,-5,-6,-687,50.7501
696.00,Technology,I131,Software,GOTO,PT GoTo Gojek Tokopedia Tbk,S,06/30/2022,Dec,U,,158921.41,15787.09,143134.32,3399.99,-14185.26,-14169.7,-13647.81,-22,120.85,-13.73,2.5,0.11,0,0,0,302.125
697.00,Technology,I111,Online Applications & Services,HDIT,Hensel Davest Indonesia Tbk,S,06/30/2022,Dec,U,,367.67,11.81,355.86,1852.18,3.16,2.22,2.11,0.26,233.4,329.02,0.4,0.03,0,0,0,93.36
698.00,Technology,I111,Online Applications & Services,KIOS,Kioson Komersial Indonesia Tbk,S,06/30/2022,Dec,U,,110.96,46.97,63.99,146.37,3.17,2.36,2.42,3.2,59.48,167.37,8.83,0.73,3,5,2,525.2084
699.00,Technology,I111,Online Applications & Services,KREN,Kresna Graha Investama Tbk,S,06/30/2022,Dec,U,,3193.63,817.37,2376.26,6306.31,3.81,-5.59,-28.82,-19.96,130.5,-2.51,0.39,0.34,-11,-15,-6,50.895
700.00,Technology,I121,IT Services & Consulting,LMAS,Limas Indonesia Makmur Tbk,S,06/30/2021,Dec,U,,347.75,228.01,119.74,22.76,-4.68,-4.48,-2.98,-7.01,151.98,0,0.33,1.9,-2,-5,-24,50.1534
701.00,Technology,I111,Online Applications & Services,MCAS,M Cash Integrasi Tbk,S,06/30/2022,Dec,U,,2207.39,795.51,1411.88,6310.71,35.13,25.69,16.54,36.91,1626.72,310.22,7.04,0.56,1,2,1,11452.1088
702.00,Technology,I121,IT Services & Consulting,MLPT,Multipolar Technology Tbk,S,06/30/2022,Dec,U,,2676.87,1814.91,861.96,1670.26,349.21,293.61,296.5,249.26,459.71,9.03,4.87,2.11,17,54,28,2238.7877
703.00,Technology,I111,Online Applications & Services,NFCX,NFC Indonesia Tbk,S,06/30/2022,Dec,U,,1936.22,537.06,1399.17,5058.25,41.79,37.39,30.81,143.14,2098.75,58.86,4.01,0.38,5,7,2,8415.9875
704.00,Technology,I111,Online Applications & Services,PGJO,Tourindo Guide Indonesia Tbk,0,06/30/2022,Dec,U,,18.78,0.36,18.42,1.77,-5.61,-5.61,-5.61,-16.22,24.18,-4.38,2.94,0.02,-66,-67,-697,71.0892
705.00,Technology,I131,Software,RUNS,Global Sukses Solusi Tbk,0,06/30/2022,Dec,U,,84.96,12.65,72.31,8.82,0.36,0.17,0.11,-11.09,73.52,-17.13,2.58,0.17,0,0,0,189.6816
706.00,Technology,I131,Software,SKYB,PT Northcliff Citranusa Indonesia Tbk.,S,09/30/2019,Dec,U,,38.15,7.94,30.21,3.66,-0.54,-0.02,-0.03,-1.46,51.65,0,0.99,0.26,-2,-3,-23,51.1335
707.00,Technology,I121,IT Services & Consulting,TECH,Indosterling Technomedia Tbk,S,06/30/2022,Dec,U,,68.21,9.73,58.48,8.22,0.31,0.5,0.52,5.14,46.55,1234.99,136.42,0.17,8,10,68,6350.351
708.00,Technology,I111,Online Applications & Services,TFAS,Telefast Indonesia Tbk,S,06/30/2022,Dec,U,,292.9,96.69,196.21,403.54,0.51,0.12,1.06,7.75,117.73,345.85,22.76,0.49,4,7,3,2679.5348
709.00,Technology,I111,Online Applications & Services,UVCR,Trimegah Karya Pratama Tbk,0,06/30/2022,Dec,A,WTP,112.15,31.03,81.12,657.76,4.02,3.08,3.08,3.8,40.56,36.6,3.43,0.38,7,9,1,139.1208
710.00,Technology,I131,Software,WGSH,Wira Global Solusi Tbk,0,06/30/2022,Dec,U,,58.32,2.99,55.34,14.9,5.06,4.36,4.35,3.79,53.08,44.86,3.2,0.05,0,0,0,169.856
711.00,Technology,I131,Software,WIRG,PT WIR ASIA Tbk,S,06/30/2022,Dec,U,,751.96,161.36,590.6,650.71,30.88,24.17,21.85,0,49.55,0,10.6,0.27,0,0,0,525.23
712.00,Technology,I221,Computer Hardware,AXIO,PT Tera Data Indonusa Tbk,S,06/30/2022,Dec,U,,947.59,674.59,273,246.44,6.71,5.99,5.07,23.3,46.75,11.59,5.78,2.47,14,50,55,270.215
713.00,Technology,I231,Electronic Equipment & Instruments,GLVA,Galva Technologies Tbk,S,06/30/2022,Dec,U,,904.22,630.36,273.87,1008.18,34.09,26.04,24.5,36.36,182.58,8.47,1.69,2.3,6,20,5,308.5602
714.00,Technology,I221,Computer Hardware,LUCK,Sentral Mitra Informatika Tbk,S,06/30/2022,Dec,U,,180.58,44.94,135.64,68.47,1.79,0.39,0.41,1.16,189.51,153.56,1.01,0.33,0,1,1,191.4051
715.00,Technology,I221,Computer Hardware,MTDL,Metrodata Electronics Tbk,S,06/30/2022,Dec,U,,8000.56,3826.43,4174.13,9727.38,504.11,380.38,271.28,43.77,340,15.99,2.06,0.92,7,13,6,700.4
716.00,Technology,I211,Networking Equipment,PTSN,Sat Nusapersada Tbk,S,06/30/2022,Dec,U,,2183.16,807.11,1376.05,1113.81,76.44,40.18,40.18,15.03,258.93,12.78,0.75,0.59,4,6,7,194.1975
717.00,Technology,I221,Computer Hardware,ZYRX,Zyrexindo Mandiri Buana Tbk,S,06/30/2022,Dec,U,,395.57,197.65,197.92,107.92,10.77,8.11,8.11,55.8,148.44,8.57,3.19,1,19,38,69,473.5236
718.00,Infrastructures,J111,Airport Operators,CASS,Cardig Aero Services Tbk,S,06/30/2022,Dec,U,,1477.88,886.08,591.8,771.19,161.98,121.31,52.19,30.22,283.57,13.24,1.41,1.5,4,11,8,399.8337
719.00,Infrastructures,J112,Highways & Railtracks,CMNP,Citra Marga Nusaphala Persada Tbk,S,06/30/2022,Dec,U,,16082.97,5022.72,11060.26,1734.49,564.74,468.77,465.84,161.04,2034.98,12.42,0.98,0.45,5,8,50,1994.2804
720.00,Infrastructures,J111,Airport Operators,GMFI,Garuda Maintenance Facility Aero Asia Tbk,S,06/30/2022,Dec,U,,5674.67,10843.37,-5168.69,1425.73,-208.41,-163.09,-163.39,-56.04,-183.07,-1.32,-0.4,-2.1,-28,0,-111,73.228
721.00,Infrastructures,J113,Marine Ports & Services,IPCC,PT Indonesia Kendaraan Terminal Tbk.,S,06/30/2022,Dec,U,,2005.99,895.58,1110.41,302.34,63.1,45.42,45.42,42.58,610.66,13.03,0.91,0.81,5,8,30,555.7006
722.00,Infrastructures,J113,Marine Ports & Services,IPCM,PT Jasa Armada Indonesia Tbk.,S,06/30/2022,Dec,U,,1528.35,398.36,1129.99,428.2,84.6,64.7,64.7,26.65,213.82,10.88,1.36,0.35,9,12,33,290.7952
723.00,Infrastructures,J112,Highways & Railtracks,JSMR,Jasa Marga (Persero) Tbk,S,06/30/2022,Dec,A,WTP,100647.67,74935.18,25712.49,7540.33,1165.04,529.08,734.76,205.9,3542.7,15.83,0.91,2.91,1,6,20,3223.857
724.00,Infrastructures,J113,Marine Ports & Services,KARW,ICTSI JASA PRIMA Tbk,S,06/30/2022,Dec,U,,233.81,742.79,-508.98,43.41,6.2,4.34,4.34,23.31,-866.87,3.6,-0.1,-1.46,6,0,32,86.687
