No.,Sector,Sub Industry Code,Sub Industry,Code,Stock Name,Sharia,FS Date,Fiscal Year End,Type of FS,Auditor's Opinion,"Assets, b.IDR","Liabilities, b.IDR","Equity, b.IDR","Sales, b.IDR","EBT, b.IDR",Profit for the Period,Profit attr.to owner's,"EPS, IDR","Book Value, IDR","P/E Ratio, x","Price to BV, x","D/E Ratio, x","ROA, %","ROE, %","NPM, %",Harga Saham
561.00,Financials,G211,Consumer Financing,VRNA,Verena Multi Finance Tbk,S,06/30/2022,Dec,U,,2252.83,1581.56,671.27,131.41,45.19,45.09,45.09,2.02,118.03,59.54,1.02,2.36,1,2,9,120.3906
562.00,Financials,G211,Consumer Financing,WOMF,Wahana Ottomitra Multiartha Tbk,S,06/30/2022,Dec,U,,5301.79,3914.58,1387.21,709.71,111.58,80.04,80.04,40.46,398.45,6.48,0.66,2.82,3,10,20,262.977
563.00,Financials,G311,Investment Management,AMOR,Ashmore Asset Management Indonesia Tbk,S,03/31/2022,Jun,,,388.56,114.56,274,305.57,108.99,85.57,85.57,52.67,123.3,24.11,10.5,0.42,30,43,38,1294.65
564.00,Financials,G312,Investment Banking & Brokerage Services,PADI,Minna Padi Investama Sekuritas Tbk,S,06/30/2022,Dec,U,,249.1,24.92,224.18,-7.76,-16.82,-16.79,-16.79,-2.36,19.83,-21.22,2.52,0.11,-11,-12,0,49.9716
565.00,Financials,G312,Investment Banking & Brokerage Services,PANS,Panin Sekuritas Tbk,S,06/30/2022,Dec,U,,2213.31,623.99,1589.31,257.18,154.84,133.16,129.42,320.68,2207.38,5.32,0.77,0.39,10,15,90,1699.6826
566.00,Financials,G312,Investment Banking & Brokerage Services,RELI,Reliance Sekuritas Indonesia Tbk,S,06/30/2022,Dec,U,,656.57,141.94,514.63,13.53,17.87,16.98,16.98,13.82,285.91,64.39,3.13,0.28,4,5,184,894.8983
567.00,Financials,G312,Investment Banking & Brokerage Services,TRIM,Trimegah Sekuritas Indonesia Tbk,S,06/30/2022,Dec,U,,2816.39,1901.81,914.58,278.27,52.56,37.41,37.39,7.67,128.65,44.06,2.63,2.08,2,6,20,338.3495
568.00,Financials,G312,Investment Banking & Brokerage Services,YULE,Yulie Sekuritas Indonesia Tbk,S,06/30/2022,Dec,U,,456.45,12.57,443.89,16.68,11.03,12.37,12.37,-3.67,248.68,-580.24,8.44,0.03,-1,-1,-39,2098.8592
569.00,Financials,G412,General Insurance,ABDA,Asuransi Bina Dana Arta Tbk,S,06/30/2022,Dec,U,,2401.24,952.26,1448.98,381.86,76.97,67.35,67.35,243.17,2334.03,24.78,2.58,0.66,6,10,40,6021.7974
570.00,Financials,G412,General Insurance,AHAP,Asuransi Harta Aman Pratama Tbk,S,06/30/2022,Dec,U,,689.87,563.46,126.42,477.26,4.33,4.33,4.33,-2.97,43,-35.71,2.47,4.46,0,0,0,106.21
