No.,Sector,Sub Industry Code,Sub Industry,Code,Stock Name,Sharia,FS Date,Fiscal Year End,Type of FS,Auditor's Opinion,"Assets, b.IDR","Liabilities, b.IDR","Equity, b.IDR","Sales, b.IDR","EBT, b.IDR",Profit for the Period,Profit attr.to owner's,"EPS, IDR","Book Value, IDR","P/E Ratio, x","Price to BV, x","D/E Ratio, x","ROA, %","ROE, %","NPM, %",Harga Saham
320.00,Consumer Non-Cyclicals,D231,"Fish, Meat, & Poultry",WMUU,Widodo Makmur Unggas Tbk,S,06/30/2022,Dec,U,,"2,457.29","1,154.13","1,303.17","1,286.34",95.49,74.45,74.45,15.09,100.70,8.88,1.33,0.89,8.00,15.00,15.00,133.93
321.00,Consumer Non-Cyclicals,D311,Tobacco,GGRM,Gudang Garam Tbk,S,06/30/2022,Dec,U,,"83,633.04","27,717.82","55,915.22","61,672.27","1,229.83",956.15,956.14,"2,209.30","29,060.64",10.26,0.79,0.50,5.00,8.00,7.00,22957.91
322.00,Consumer Non-Cyclicals,D311,Tobacco,HMSP,HM Sampoerna Tbk,S,06/30/2022,Dec,U,,"42,497.67","17,666.99","24,830.68","53,505.47","3,987.52","3,048.14","3,048.14",55.59,213.47,16.73,4.36,0.71,14.00,24.00,11.00,930.73
323.00,Consumer Non-Cyclicals,D311,Tobacco,ITIC,PT Indonesian Tobacco Tbk.,S,06/30/2022,Dec,U,,519.61,186.08,333.53,127.50,12.11,8.74,8.74,22.08,354.55,13.41,0.83,0.56,4.00,6.00,16.00,294.28
324.00,Consumer Non-Cyclicals,D311,Tobacco,RMBA,Bentoel International Investama Tbk,S,06/30/2022,Dec,U,,"8,690.39","2,881.00","5,809.40","3,383.73",70.51,16.01,16.01,0.89,159.59,342.23,1.92,0.50,1.00,1.00,2.00,306.41
325.00,Consumer Non-Cyclicals,D311,Tobacco,WIIM,Wismilak Inti Makmur Tbk,S,06/30/2022,Dec,U,,"1,893.40",494.20,"1,399.20","1,626.44",103.92,82.25,82.16,93.24,666.32,5.42,0.76,0.35,10.00,14.00,12.00,506.40
326.00,Consumer Non-Cyclicals,D421,Personal Care Products,EURO,PT Estee Gold Feet Tbk,0,12/31/2021,Dec,A,WTP,21.66,6.09,15.57,24.88,4.67,3.82,3.82,1.53,6.23,45.77,11.24,0.39,18.00,25.00,15.00,70.03
327.00,Consumer Non-Cyclicals,D421,Personal Care Products,FLMC,Falmaco Nonwoven Industri Tbk,0,06/30/2021,Dec,LR,,211.97,97.92,114.05,22.87,-10.54,-10.34,-10.34,-9.88,145.99,0.00,0.54,0.86,-4.00,-7.00,-34.00,78.83
328.00,Consumer Non-Cyclicals,D421,Personal Care Products,KINO,PT Kino Indonesia Tbk,S,06/30/2022,Dec,U,,"5,600.81","3,101.03","2,499.78","2,004.79",73.60,45.90,44.85,97.08,"1,749.84",25.34,1.41,1.24,2.00,5.00,6.00,2467.27
329.00,Consumer Non-Cyclicals,D421,Personal Care Products,KPAS,PT Cottonindo Ariesta Tbk.,S,09/30/2021,Dec,U,,231.45,114.31,117.14,20.15,-29.70,-29.70,-29.68,-43.25,152.52,-1.43,0.41,0.98,-14.00,-28.00,-165.00,62.53
330.00,Consumer Non-Cyclicals,D421,Personal Care Products,MBTO,Martina Berto Tbk,S,06/30/2022,Dec,U,,730.00,307.87,422.13,133.15,-22.37,-18.20,-18.20,-109.34,394.51,-1.08,0.30,0.73,-16.00,-28.00,-88.00,118.35
